FSN,Animal_Name,Animal_Count,Animal_Distance,Keep_Inside_House,Days_Inside_House
46256,Goats,3,3,0,-1
46258,Goats,1,0,1,365
46260,"Poultry (chickens, ducks, pigeon)",1,0,1,365
46263,Buffaloes,1,0,1,365
46270,Cows/Oxen,1,1,1,90
46270,Goats,1,0,1,365
46272,Goats,1,0,1,365
46274,Buffaloes,4,4,0,-1
46275,Cows/Oxen,2,3,0,-1
46277,Buffaloes,2,30,0,-1
46284,Cows/Oxen,2,10,0,-1
46290,Cows/Oxen,1,15,0,-1
46294,Cows/Oxen,4,10,0,-1
46296,Cows/Oxen,3,100,0,-1
46300,Cows/Oxen,2,15,0,-1
46310,Goats,1,0,1,365
46311,Buffaloes,2,18,0,-1
46313,Cows/Oxen,1,1,1,365
46315,Buffaloes,2,10,0,-1
46315,Goats,3,10,0,-1
46316,Cows/Oxen,2,3,0,-1
46316,Buffaloes,1,3,0,-1
46319,Buffaloes,1,10,1,120
46319,Goats,1,1,1,365
46321,Goats,1,0,1,365
46323,Cows/Oxen,1,15,1,240
46323,Pigs,2,0,1,365
46326,Buffaloes,1,5,0,-1
46327,Goats,2,0,1,365
46329,Goats,2,0,0,240
46332,Buffaloes,2,0,1,365
46334,Pigs,1,0,1,365
46335,Buffaloes,2,3,0,-1
46339,Cows/Oxen,1,6,0,-1
46339,Buffaloes,1,6,0,-1
46344,Goats,3,0,1,180
46346,Goats,1,0,1,180
46347,Goats,2,0,1,180
46352,Cows/Oxen,1,0,1,120
46353,Goats,2,0,1,240
46356,Buffaloes,1,1,0,-1
46358,Cows/Oxen,1,5,0,-1
46358,Goats,1,5,0,-1
46358,"Poultry (chickens, ducks, pigeon)",4,0,1,365
46373,Goats,3,0,1,365
46376,"Poultry (chickens, ducks, pigeon)",1,0,1,365
46377,Goats,2,0,1,365
46377,"Poultry (chickens, ducks, pigeon)",2,0,1,365
46380,Goats,3,0,1,365
46383,Goats,1,0,1,365
46389,"Poultry (chickens, ducks, pigeon)",2,0,1,365
46391,"Poultry (chickens, ducks, pigeon)",1,0,1,365
46392,"Poultry (chickens, ducks, pigeon)",2,0,1,365
46397,"Poultry (chickens, ducks, pigeon)",2,0,1,365
46404,Cows/Oxen,1,0,1,150
46404,"Poultry (chickens, ducks, pigeon)",2,0,1,365
46407,"Poultry (chickens, ducks, pigeon)",3,0,1,365
46411,Cows/Oxen,2,7,0,-1
46411,Goats,3,0,1,365
46412,Buffaloes,1,20,0,-1
46412,Goats,1,0,1,200
46414,Buffaloes,1,10,0,-1
46414,Goats,2,6,0,-1
46415,Buffaloes,2,5,0,-1
46415,Goats,4,5,0,-1
46416,Buffaloes,4,3,0,-1
46416,Goats,1,3,0,-1
46418,Goats,2,3,0,-1
46419,Cows/Oxen,1,2,0,-1
46421,Buffaloes,1,50,0,-1
46423,Cows/Oxen,2,10,0,-1
46423,Goats,3,3,1,120
46426,"Poultry (chickens, ducks, pigeon)",2,0,1,190
46427,"Poultry (chickens, ducks, pigeon)",5,0,1,180
46429,"Poultry (chickens, ducks, pigeon)",6,0,1,150
46430,Goats,1,5,0,-1
46444,Goats,1,10,0,-1
46444,"Poultry (chickens, ducks, pigeon)",10,0,1,365
46447,Goats,2,0,1,365
46459,Goats,2,0,1,365
46460,Goats,3,0,1,365
46460,"Poultry (chickens, ducks, pigeon)",3,0,1,365
46461,Cows/Oxen,2,5,0,-1
46461,Goats,1,0,1,365
46461,"Poultry (chickens, ducks, pigeon)",2,0,1,365
46462,Buffaloes,1,10,0,-1
46462,Goats,1,0,1,365
46462,"Poultry (chickens, ducks, pigeon)",2,7,0,-1
46465,Goats,1,0,1,365
46467,Goats,1,0,1,365
46467,"Poultry (chickens, ducks, pigeon)",4,0,1,365
46469,Goats,7,0,1,365
46471,Buffaloes,1,6,0,-1
46471,Goats,2,0,1,365
46472,Cows/Oxen,1,6,0,-1
